code;benign_ratio;malicious_ratio;total
10913;1.0;0.0;11
12008;1.0;0.0;23
13238;1.0;0.0;187
13335;0.7159479808350445;0.2840520191649555;5844
13414;0.9656862745098039;0.03431372549019608;408
14061;0.6064814814814815;0.39351851851851855;216
14080;1.0;0.0;5
14413;1.0;0.0;243
14618;0.6763736263736264;0.32362637362637364;1820
15133;0.9160432252701579;0.08395677472984206;1203
15169;0.7668818272095332;0.23311817279046673;28196
15224;1.0;0.0;113
15967;0.6666666666666666;0.3333333333333333;9
16276;0.7551724137931034;0.24482758620689654;580
16509;0.9382738202045577;0.06172617979544231;5573
16625;0.909375;0.090625;1920
174;1.0;0.0;5
19324;0.1111111111111111;0.8888888888888888;18
19551;0.7155963302752294;0.28440366972477066;109
19750;1.0;0.0;14
19994;1.0;0.0;16
201081;1.0;0.0;32
203219;1.0;0.0;41
20446;0.7813953488372093;0.2186046511627907;1290
20940;0.6905786704925873;0.30942132950741275;2091
22075;1.0;0.0;27
23467;1.0;0.0;170
24940;0.616822429906542;0.38317757009345793;214
24971;1.0;0.0;16
25234;1.0;0.0;16
25751;1.0;0.0;28
2635;0.7716049382716049;0.22839506172839505;1620
26496;0.3152804642166344;0.6847195357833655;517
27281;1.0;0.0;150
27647;0.711864406779661;0.288135593220339;118
29636;1.0;0.0;1
29990;1.0;0.0;274
30605;1.0;0.0;11
32400;1.0;0.0;23
32934;0.8989840348330914;0.10101596516690857;3445
33047;1.0;0.0;22
33070;1.0;0.0;38
33438;0.31505250875145857;0.6849474912485414;857
34010;1.0;0.0;28
44788;1.0;0.0;233
46606;0.12387791741472172;0.8761220825852782;557
49604;1.0;0.0;2
53580;1.0;0.0;6
54113;0.890958904109589;0.10904109589041096;1825
54178;1.0;0.0;11
54436;1.0;0.0;20
54825;0.98989898989899;0.010101010101010102;594
58182;0.5365853658536586;0.4634146341463415;41
60068;0.8425925925925926;0.1574074074074074;216
60781;0.736;0.264;125
62713;1.0;0.0;104
8068;0.738562091503268;0.26143790849673204;306
8075;0.8156565656565656;0.18434343434343434;396
8220;1.0;0.0;5
11608;1.0;0.0;6
12312;1.0;0.0;3
132203;0.25;0.75;20
133159;1.0;0.0;2
138552;1.0;0.0;2
17090;1.0;0.0;9
17623;1.0;0.0;3
19437;1.0;0.0;2
