code;benign_ratio;malicious_ratio;total
AE;1.0;0.0;4
AF;1.0;0.0;2
AR;0.6;0.4;15
AT;1.0;0.0;8
AU;0.38461538461538464;0.6153846153846154;65
BD;0.0;1.0;18
BG;0.0625;0.9375;32
BR;0.825;0.175;40
CA;0.5439560439560439;0.45604395604395603;182
CH;0.4074074074074074;0.5925925925925926;54
CN;0.4822834645669291;0.5177165354330708;508
CO;1.0;0.0;5
CR;0.0;1.0;6
CZ;1.0;0.0;124
DE;0.6331288343558282;0.36687116564417177;815
DK;1.0;0.0;111
EE;1.0;0.0;2
ES;0.6458333333333334;0.3541666666666667;96
EU;0.6840390879478827;0.31596091205211724;2149
FR;0.8070009460737938;0.19299905392620625;1057
GB;0.7202797202797203;0.27972027972027974;715
HK;0.13253012048192772;0.8674698795180723;83
HR;1.0;0.0;7
HU;1.0;0.0;7
ID;0.05714285714285714;0.9428571428571428;35
IE;1.0;0.0;1
IL;0.5365853658536586;0.4634146341463415;41
IN;0.3181818181818182;0.6818181818181818;44
IR;0.28;0.72;75
IT;0.4519774011299435;0.5480225988700564;177
JP;0.90625;0.09375;192
KR;0.55;0.45;40
LT;0.0;1.0;420
LU;1.0;0.0;2
MD;1.0;0.0;5
MK;1.0;0.0;11
NL;0.7037037037037037;0.2962962962962963;378
NO;0.0;1.0;17
PL;0.7096774193548387;0.2903225806451613;124
PT;1.0;0.0;49
RU;0.9573033707865168;0.04269662921348315;445
SE;0.5070422535211268;0.49295774647887325;71
SG;0.19047619047619047;0.8095238095238095;21
SK;1.0;0.0;10
TR;0.5476190476190477;0.4523809523809524;42
TW;0.3333333333333333;0.6666666666666666;57
UA;0.16666666666666666;0.8333333333333334;24
US;0.777730743556764;0.22226925644323603;61421
VG;0.07317073170731707;0.926829268292683;164
VN;0.3611111111111111;0.6388888888888888;36
ZA;1.0;0.0;12
