key;source;destination;count
('US', 'NL');US;NL;108
('US', 'DE');US;DE;569
('NL', 'DE');NL;DE;57
('US', 'BE');US;BE;245
('DE', 'BE');DE;BE;263
('IN', 'VG');IN;VG;7
('US', 'IE');US;IE;56
('US', 'GB');US;GB;8
('DE', 'IE');DE;IE;71
('DE', 'GB');DE;GB;8
('BE', 'IE');BE;IE;8
('BE', 'GB');BE;GB;8
('IE', 'GB');IE;GB;8
('KR', 'DE');KR;DE;8
('FR', 'DE');FR;DE;11
('FR', 'IE');FR;IE;6
('FR', 'BE');FR;BE;6
('IE', 'BE');IE;BE;20
('GB', 'US');GB;US;8
('GB', 'DE');GB;DE;29
('SK', 'TW');SK;TW;18
('SK', 'US');SK;US;18
('TW', 'US');TW;US;18
('IR', 'DE');IR;DE;8
('ES', 'US');ES;US;1
('DE', 'NL');DE;NL;34
('BD', 'DE');BD;DE;8
('CA', 'DE');CA;DE;19
('SE', 'DE');SE;DE;7
('SE', 'BE');SE;BE;7
('ID', 'DE');ID;DE;13
('ID', 'US');ID;US;7
('DE', 'US');DE;US;64
('US', 'HK');US;HK;13
('US', 'CN');US;CN;18
('HK', 'CN');HK;CN;7
('PT', 'DE');PT;DE;7
('US', 'VG');US;VG;60
('IT', 'DE');IT;DE;12
('ES', 'DE');ES;DE;7
('AU', 'DE');AU;DE;12
('AU', 'US');AU;US;19
('NO', 'US');NO;US;7
('NO', 'NL');NO;NL;7
('NO', 'DE');NO;DE;7
('SG', 'DE');SG;DE;13
('SG', 'IE');SG;IE;7
('US', 'UA');US;UA;7
('UA', 'NL');UA;NL;7
('UA', 'DE');UA;DE;7
('VN', 'DE');VN;DE;7
('VN', 'US');VN;US;7
('VN', 'IE');VN;IE;7
('CA', 'NL');CA;NL;5
('PL', 'DE');PL;DE;12
('PL', 'BE');PL;BE;5
('CH', 'DE');CH;DE;6
('CN', 'DE');CN;DE;6
('CN', 'US');CN;US;6
('US', 'FR');US;FR;18
('US', 'CA');US;CA;6
('DE', 'FR');DE;FR;12
('DE', 'CA');DE;CA;6
('FR', 'CA');FR;CA;6
('DE', 'VG');DE;VG;16
('BE', 'VG');BE;VG;11
('FI', 'US');FI;US;6
('FI', 'IE');FI;IE;6
('CN', 'HK');CN;HK;6
('CA', 'US');CA;US;16
('IT', 'US');IT;US;6
('IT', 'FR');IT;FR;6
('IT', 'NL');IT;NL;6
('FR', 'NL');FR;NL;6
('IE', 'DE');IE;DE;6
('IE', 'NL');IE;NL;11
('IE', 'US');IE;US;7
('NL', 'US');NL;US;11
('IN', 'US');IN;US;10
('IN', 'DE');IN;DE;10
('IN', 'IE');IN;IE;5
('AU', 'VG');AU;VG;5
('PL', 'IE');PL;IE;1
('PL', 'US');PL;US;1
