rapiboy.com;['2606:4700:30::681b:995b', '2606:4700:30::681b:985b'];[300, 300];['13335', '20446', '33438', '13335', '16625', '15169', '32934', '15169', '15169', '54113', '60068', '15169', '15169', '15169', '15169', '13414', '13414', '32934'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'GB', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::681b:985b', '209.197.3.15', '23.111.9.35', '2606:4700::6813:c797', '172.227.13.196', '2a00:1450:4001:81d::2008', '2a03:2880:f01c:216:face:b00c:0:3', '2a00:1450:4001:816::200e', '172.217.16.194', '151.101.36.157', '195.181.170.17', '2a00:1450:400c:c00::9c', '2a00:1450:4001:821::2004', '2a00:1450:4001:81c::2003', '2a00:1450:4001:81e::2002', '104.244.42.67', '104.244.42.69', '2a03:2880:f12d:83:face:b00c:0:25de'];[1470566754.0, 1596797154.0, 1549354150.0];0
nimkimukhiya.net;['2606:4700:30::681b:8fde', '2606:4700:30::681b:8ede'];[300, 300];['13335', '15169', '15169', '2635', '2635', '2635', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::681b:8fde', '2a00:1450:4001:808::200a', '2a00:1450:4001:81d::2008', '192.0.77.2', '192.0.77.32', '192.0.76.3', '2a00:1450:4001:821::2003', '2a00:1450:4001:81f::200e'];[1540470657.0, 1572006657.0, 1540473372.0];0
helio.cz;['81.95.96.94'];[86400];['25234', '15169', '16509', '15169', '15169', '24971', '32934', '15169', '15169', '15169', '54825', '15169', '54825', '32934', '54825'];['CZ', 'US', 'US', 'US', 'US', 'CZ', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['81.95.96.94', '2a00:1450:4001:806::200e', '52.216.177.109', '2a00:1450:4001:820::2008', '2a00:1450:4001:809::200e', '194.145.183.49', '2a03:2880:f01c:216:face:b00c:0:3', '2a00:1450:400c:c00::9b', '2a00:1450:4001:819::2004', '2a00:1450:4001:825::2003', '147.75.33.239', '2a00:1450:4001:806::200d', '147.75.205.49', '2a03:2880:f11c:8083:face:b00c:0:25de', '147.75.32.173'];[874015200.0, 1571605200.0, 1275550368.0];0
taarakmehtakaooltahchashmah.net;['2606:4700:30::6812:2e7b', '2606:4700:30::6812:2f7b'];[300, 300];['13335', '15169', '15169', '15169'];['US', 'US', 'US', 'US'];['2606:4700:30::6812:2e7b', '2a00:1450:4001:81a::200a', '2a00:1450:4001:820::200a', '2a00:1450:4001:81e::2003'];[1532977875.0, 1564513875.0, 1533123265.0];0
the-frugality.com;['84.18.217.31'];[600];['29636', '20940', '15169', '15169', '15169', '15169', '15169', '15169', '2635', '32934', '16509', '15169', '15169', '20940', '20940', '32934', '15169', '15169', '15169', '15169', '16509', '15169', '54113'];['IE', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'EU', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['84.18.217.31', '2.20.21.127', '2a00:1450:4001:820::200a', '2a00:1450:4001:815::200e', '2a00:1450:4001:81e::2002', '2a00:1450:4001:806::2002', '2a00:1450:4001:808::2002', '172.217.18.98', '2a04:fa87:fffe::c000:4902', '2a03:2880:f21a:c4:face:b00c:0:43fe', '13.35.253.107', '2a00:1450:4001:809::2004', '2a00:1450:4001:824::2003', '2a02:26f0:eb:193::1931', '23.43.116.116', '2a03:2880:f21c:80c4:face:b00c:0:43fe', '2a00:1450:4001:824::2001', '2a00:1450:4001:81f::2001', '2a00:1450:4001:821::2004', '2a00:1450:4001:81c::2002', '99.86.0.77', '2a00:1450:4001:818::2014', '151.101.0.84'];[1329330564.0, 1581791364.0, 1549650475.0];0
brothermodels.com;[b'brothermodels.com.', '104.155.42.107'];[3600, 600];['15169', '15169', '15169', '15169', '15169'];['US', 'US', 'US', 'US', 'US'];['104.155.42.107', '2a00:1450:4001:806::2004', '2a00:1450:4001:808::200a', '2a00:1450:4001:819::2003', '2a00:1450:4001:80b::2010'];[1457521574.0, 1583751974.0, 1559678856.0];0
rvrr.org;['162.241.224.134'];[14400];['46606', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['162.241.224.134', '2a00:1450:4001:81c::2013', '2a00:1450:4001:81f::200a', '2a00:1450:4001:81e::2003', '2a00:1450:4001:80b::200e', '2a00:1450:4001:81e::2001', '2a00:1450:4001:820::2001', '2a00:1450:4001:816::2003', '2a00:1450:4001:819::2003', '2a00:1450:4001:806::2001', '2a00:1450:4001:81b::2001', '2a00:1450:4001:820::200e', '2a00:1450:4001:808::2004', '2a00:1450:4001:81a::200e', '2a00:1450:4001:815::2003'];[891223200.0, 1585447200.0, 1557696080.0];0
tunisievideos.com;['213.186.33.40'];[3600];['16276', '15169', '13335', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169'];['FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2001:41d0:1:1b00:213:186:33:40', '2a00:1450:4001:81a::200a', '2606:4700::6810:d0a5', '2a00:1450:4001:80b::2002', '2a00:1450:4001:809::200e', '2a00:1450:4001:81b::2003', '2a00:1450:400c:c00::9b', '2a00:1450:4001:818::2002', '2a00:1450:4001:815::2002', '172.217.22.66', '2a00:1450:4001:809::2002', '2a00:1450:4001:81e::2002'];[1470758171.0, 1596988571.0, 1556522486.0];0
air-journal.fr;[b'air-journal.fr.', '87.98.157.15'];[10800, 10800];['16276', '15169', '33438', '16625', '20446', '15169', '15169', '15169', '13335', '16509', '54113', '15169', '15169', '201081', '15133', '16509', '16509', '16625', '15133', '16509', '16509', '15169', '16625', '15169', '16509', '16509', '54825', '60068', '13335', '32934', '16509', '203219', '16509', '20940', '16276', '13335', '34010', '16509', '16509', '201081', '16625', '201081', '16509', '15169', '16625', '16509', '44788', '44788'];['FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'GB', 'US', 'US', 'US', 'GB', 'US', 'EU', 'FR', 'US', 'GB', 'US', 'US', 'FR', 'US', 'FR', 'US', 'US', 'US', 'US', 'FR', 'FR'];['87.98.157.15', '2a00:1450:4001:81f::200e', '23.111.9.35', '2.18.232.7', '69.16.175.10', '2a00:1450:4001:809::2002', '2a00:1450:4001:816::200e', '2a00:1450:400c:c09::9a', '104.18.131.145', '52.222.167.21', '151.101.2.2', '2a00:1450:4001:816::2002', '2a00:1450:4001:81e::2002', '185.86.137.42', '152.199.23.151', '52.50.32.35', '52.222.167.151', '23.38.19.203', '68.232.35.16', '143.204.214.29', '52.215.248.223', '2a00:1450:4001:816::200a', '2.18.232.130', '35.244.237.19', '52.48.145.61', '52.212.219.52', '147.75.102.200', '195.181.170.19', '2606:4700:10::6814:a25', '2a03:2880:f11c:8083:face:b00c:0:25de', '52.213.153.248', '2a00:1288:84:800::1001', '52.222.167.16', '2a02:26f0:6c00:293::2c92', '51.75.243.78', '2606:4700:10::6814:b25', '212.82.100.146', '34.255.174.41', '54.72.242.46', '185.86.137.17', '2.18.234.21', '185.86.137.110', '52.29.77.133', '172.217.16.166', '92.122.254.168', '52.213.115.94', '178.250.0.130', '178.250.0.165'];[1261573705.0, 1577106505.0, 1530852575.0];0
dmediag.com;['104.28.4.80', '104.28.5.80'];[300, 300];['13335', '20446', '33438', '13335', '32934', '32934', '32934'];['US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::681c:450', '209.197.3.15', '23.111.9.35', '2606:4700::6813:c497', '2a03:2880:f02d:12:face:b00c:0:3', '2a03:2880:f01c:216:face:b00c:0:3', '2a03:2880:f11c:8083:face:b00c:0:25de'];[1491215657.0, 1617446057.0, 1558942413.0];0
