code;benign_ratio;malicious_ratio;benign;malicious;total
15169;0.9421252371916509;0.05787476280834915;4965;305;5270
16625;0.9221105527638191;0.07788944723618091;367;31;398
34119;0.0;1.0;0;1;1
46606;0.1346153846153846;0.8653846153846154;7;45;52
;0.9111111111111111;0.08888888888888889;41;4;45
20940;0.8794871794871795;0.12051282051282051;343;47;390
35913;0.0;1.0;0;2;2
14061;0.7659574468085106;0.23404255319148937;36;11;47
13335;0.901685393258427;0.09831460674157304;963;105;1068
15133;0.8269230769230769;0.17307692307692307;215;45;260
16509;0.9596273291925466;0.040372670807453416;1236;52;1288
48635;0.0;1.0;0;51;51
42656;0.5;0.5;1;1;2
31621;0.3333333333333333;0.6666666666666666;1;2;3
16276;0.8504672897196262;0.14953271028037382;91;16;107
17012;0.0;1.0;0;1;1
204915;0.0;1.0;0;17;17
32475;0.5;0.5;4;4;8
16010;0.0;1.0;0;2;2
43317;0.0;1.0;0;3;3
714;0.0;1.0;0;17;17
12876;0.75;0.25;9;3;12
40027;0.0;1.0;0;3;3
11042;0.0;1.0;0;1;1
48287;0.0;1.0;0;9;9
8560;0.5384615384615384;0.46153846153846156;7;6;13
19551;0.7692307692307693;0.23076923076923078;10;3;13
26496;0.5833333333333334;0.4166666666666667;28;20;48
20446;0.8869047619047619;0.1130952380952381;149;19;168
54113;0.9643765903307888;0.035623409669211195;379;14;393
24446;0.0;1.0;0;1;1
46887;0.0;1.0;0;2;2
41011;0.0;1.0;0;2;2
197695;0.1111111111111111;0.8888888888888888;1;8;9
15720;0.2857142857142857;0.7142857142857143;2;5;7
48910;0.25;0.75;1;3;4
51557;0.0;1.0;0;1;1
51559;0.3333333333333333;0.6666666666666666;1;2;3
29119;0.0;1.0;0;2;2
60626;0.0;1.0;0;1;1
47583;0.0;1.0;0;1;1
32934;0.9661764705882353;0.033823529411764704;657;23;680
32244;0.7272727272727273;0.2727272727272727;16;6;22
42910;0.0;1.0;0;3;3
17974;0.25;0.75;1;3;4
22612;0.46153846153846156;0.5384615384615384;6;7;13
33438;0.6575342465753424;0.3424657534246575;48;25;73
2044;0.75;0.25;3;1;4
55002;0.3333333333333333;0.6666666666666666;1;2;3
19318;0.0;1.0;0;2;2
56308;0.0;1.0;0;1;1
14618;0.9389312977099237;0.061068702290076333;246;16;262
33182;0.0;1.0;0;4;4
40034;0.0;1.0;0;10;10
38731;0.0;1.0;0;1;1
137263;0.0;1.0;0;1;1
54994;0.875;0.125;7;1;8
10310;0.8571428571428571;0.14285714285714285;12;2;14
55410;0.0;1.0;0;1;1
24940;0.9466666666666667;0.05333333333333334;71;4;75
393398;0.0;1.0;0;1;1
16347;0.0;1.0;0;1;1
50673;0.5;0.5;1;1;2
