code;benign_ratio;malicious_ratio;benign;malicious;total
;0.9539877300613497;0.046012269938650305;311;15;326
AE;1.0;0.0;2;0;2
AI;1.0;0.0;1;0;1
AL;1.0;0.0;1;0;1
AR;0.5;0.5;1;1;2
AT;1.0;0.0;15;0;15
AU;0.6666666666666666;0.3333333333333333;12;6;18
AZ;1.0;0.0;1;0;1
BA;1.0;0.0;1;0;1
BD;0.0;1.0;0;4;4
BE;0.9338235294117647;0.0661764705882353;381;27;408
BG;0.7857142857142857;0.21428571428571427;11;3;14
BR;0.6896551724137931;0.3103448275862069;20;9;29
CA;0.9102564102564102;0.08974358974358974;71;7;78
CH;0.9166666666666666;0.08333333333333333;22;2;24
CL;0.5;0.5;1;1;2
CN;0.9379310344827586;0.06206896551724138;272;18;290
CO;1.0;0.0;2;0;2
CR;0.0;1.0;0;1;1
CU;1.0;0.0;1;0;1
CY;1.0;0.0;1;0;1
CZ;0.975;0.025;39;1;40
DE;0.9015459723352319;0.0984540276647681;1108;121;1229
DK;0.9696969696969697;0.030303030303030304;32;1;33
DZ;1.0;0.0;1;0;1
EE;1.0;0.0;2;0;2
EG;0.75;0.25;3;1;4
ES;0.6086956521739131;0.391304347826087;14;9;23
EU;0.8493150684931506;0.1506849315068493;434;77;511
FI;0.9230769230769231;0.07692307692307693;12;1;13
FR;0.8563049853372434;0.1436950146627566;292;49;341
GB;0.9279279279279279;0.07207207207207207;206;16;222
GR;1.0;0.0;3;0;3
HK;0.8857142857142857;0.11428571428571428;31;4;35
HR;1.0;0.0;3;0;3
HU;1.0;0.0;8;0;8
ID;0.6818181818181818;0.3181818181818182;15;7;22
IE;0.967948717948718;0.03205128205128205;453;15;468
IL;1.0;0.0;4;0;4
IN;0.7941176470588235;0.20588235294117646;27;7;34
IR;0.9743589743589743;0.02564102564102564;38;1;39
IT;0.6170212765957447;0.3829787234042553;29;18;47
JP;0.9888888888888889;0.011111111111111112;89;1;90
KR;0.8970588235294118;0.10294117647058823;61;7;68
KZ;1.0;0.0;2;0;2
LT;0.2564102564102564;0.7435897435897436;10;29;39
LU;1.0;0.0;5;0;5
LV;1.0;0.0;4;0;4
MD;1.0;0.0;1;0;1
MN;1.0;0.0;2;0;2
MY;0.42857142857142855;0.5714285714285714;3;4;7
NL;0.8355640535372849;0.16443594646271512;437;86;523
NO;1.0;0.0;3;0;3
NP;1.0;0.0;1;0;1
NZ;0.3333333333333333;0.6666666666666666;1;2;3
PH;1.0;0.0;1;0;1
PK;0.0;1.0;0;1;1
PL;0.5806451612903226;0.41935483870967744;18;13;31
PT;1.0;0.0;10;0;10
RU;0.9273858921161826;0.07261410788381743;447;35;482
SA;1.0;0.0;1;0;1
SC;0.6666666666666666;0.3333333333333333;2;1;3
SE;0.8125;0.1875;13;3;16
SG;0.84;0.16;21;4;25
SI;1.0;0.0;1;0;1
SK;0.6666666666666666;0.3333333333333333;4;2;6
TH;1.0;0.0;3;0;3
TR;0.6923076923076923;0.3076923076923077;18;8;26
TW;0.8823529411764706;0.11764705882352941;15;2;17
UA;0.8709677419354839;0.12903225806451613;27;4;31
US;0.894463057661788;0.10553694233821195;10145;1197;11342
UY;1.0;0.0;1;0;1
UZ;1.0;0.0;1;0;1
VG;0.14285714285714285;0.8571428571428571;3;18;21
VN;0.9285714285714286;0.07142857142857142;26;2;28
ZA;1.0;0.0;4;0;4
