,resolutions_count,subdomains_count,dns_records_count,https_validity,ssl_exists
037hdd.com,4.0,1.0,8.0,1581033599,1
1000lotto.com,12.0,1.0,8.0,1581983999,1
1001jeux.fr,4.0,100.0,8.0,1570233599,1
101fitnesstips.info,12.0,1.0,6.0,43200,0
1111.com.tw,1.0,61.0,6.0,1618156799,1
11st.co.kr,1.0,100.0,11.0,1626479999,1
120ask.com,129.0,68.0,11.0,43200,0
123kubo.org,7.0,3.0,8.0,1594728000,1
123link.vip,3.0,1.0,8.0,1579348800,1
123movies.la,11.0,6.0,11.0,1577923199,1
123movies.rest,4.0,2.0,8.0,1578657600,1
123movies2019.com,2.0,2.0,0.0,43200,0
123movieshub.red,2.0,2.0,8.0,1576886399,1
123rf.com,2.0,82.0,17.0,1585007999,1
126.com,3.0,100.0,14.0,1579608000,1
1337x.st,6.0,1.0,9.0,1576886399,1
1337x.to,14.0,4.0,8.0,1581206399,1
1377x.to,10.0,1.0,7.0,1579651199,1
13dl.net,15.0,3.0,8.0,1574337600,1
17365m.com,5.0,1.0,4.0,43200,0
17track.net,23.0,31.0,9.0,1584792000,1
1bettor.com,7.0,2.0,8.0,1576152000,1
1do.me,7.0,5.0,5.0,1570923184,1
1fichier.com,3.0,100.0,7.0,1589833147,1
1min30.com,25.0,15.0,12.0,1570784438,1
1movies.is,72.0,6.0,9.0,1583193599,1
1plus1tv.ru,3.0,4.0,10.0,43200,0
1pornxxx.com,64.0,1.0,7.0,1583452799,1
1thingus.com,4.0,33.0,8.0,1579089600,1
1tv.ru,9.0,84.0,14.0,1598270400,1
1und1.de,3.0,100.0,16.0,1630324800,1
1xprp.world,1.0,1.0,6.0,1573037061,1
20minutos.es,1000.0,53.0,17.0,1589025600,1
2265.com,908.0,14.0,9.0,43200,0
22pixx.xyz,2.0,2.0,9.0,1572739199,1
2345.com,5.0,100.0,8.0,1605268800,1
23andme.com,7.0,49.0,22.0,1581422400,1
24bit-music.info,5.0,1.0,7.0,1583279999,1
24h.com.vn,92.0,100.0,11.0,1604491200,1
24petwatch.com,2.0,11.0,6.0,1588161600,1
24porn.com,8.0,8.0,4.0,1593129599,1
24smi.info,3.0,16.0,5.0,1593175337,1
24smi.org,5.0,15.0,11.0,1593175633,1
24video.sexy,82.0,23.0,5.0,1592438399,1
2ch-c.net,22.0,2.0,8.0,1578268799,1
2ch.hk,82.0,8.0,6.0,1571565260,1
2conv.com,85.0,8.0,11.0,1583414529,1
2dbattleroyale.com,10.0,7.0,8.0,1582847999,1
2gis.ru,3.0,100.0,20.0,1576886399,1
2m.ma,4.0,16.0,12.0,1569801599,1
2movierulz.gs,7.0,1.0,9.0,1581768000,1
321maison.com,2.0,2.0,0.0,43200,0
3396815.net,1.0,14.0,7.0,1569715199,1
33sk.tv,6.0,1.0,11.0,1590840000,1
365tipsters.com,2.0,4.0,11.0,1571529599,1
36kr.com,9.0,71.0,11.0,1615464000,1
