,resolutions_count,subdomains_count,dns_records_count,https_validity,ssl_exists
11143138.com,3.0,1.0,0.0,43200,0
1dealfitness.co.uk,6.0,1.0,7.0,1573635742,1
231060.com,3.0,2.0,0.0,43200,0
3138003.com,3.0,1.0,0.0,43200,0
3138007.com,3.0,1.0,0.0,43200,0
americanas-com-br-eletroeletronicos-desconto.cuccfree.com,5.0,1.0,8.0,43200,0
applesaupairs.com,12.0,1.0,0.0,43200,0
apscervise.000webhostapp.com,37.0,1.0,0.0,43200,0
barrownz.com,6.0,2.0,11.0,1574411734,1
buchweitz.co.uk,1.0,4.0,0.0,43200,0
caerminia.it,8.0,1.0,8.0,1617261838,1
cammi.it,3.0,1.0,8.0,1567115707,0
carboniferous-penna.000webhostapp.com,45.0,0.0,0.0,43200,0
coloradomanagement-my.sharepoint.com,2.0,0.0,5.0,1583530503,1
conseilnationalcancerologie.fr,4.0,1.0,4.0,43200,0
corporatemg.com,2.0,2.0,8.0,1569369599,1
cpccivils-my.sharepoint.com,1.0,0.0,5.0,1583530503,1
creativecombat.com,3.0,8.0,8.0,1574380799,1
crural-crash.000webhostapp.com,53.0,1.0,6.0,1625918400,1
csgoloveman.com,21.0,1.0,5.0,43200,0
cst-kh.edu.ps,10.0,4.0,0.0,43200,0
davaoblog.com,2.0,4.0,4.0,43200,0
dplionb8.000webhostapp.com,34.0,1.0,0.0,43200,0
dropboxmessaging.com,2.0,1.0,4.0,43200,0
duncfitz.co.uk,2.0,1.0,5.0,43200,0
dynamometrical-disc.000webhostapp.com,92.0,1.0,0.0,43200,0
ecollegedeveloper.com,1.0,1.0,1.0,1601596799,1
fx-plus.com,6.0,1.0,0.0,43200,0
gbbsegurancas.com,2.0,2.0,0.0,43200,0
hhmm.000webhostapp.com,8.0,1.0,0.0,43200,0
hresourcesjp.com,7.0,2.0,2.0,43200,0
http://000o2ba.wcomhost.com/mass/check.php,0.0,0.0,0.0,43200,0
http://000o4n8.wcomhost.com/smart/customer_center/customer-IDPP00C635/myaccount/success/?cmd=_session=&amp;f843b465c7466a3bdd1f6c1b75e8029a&amp;dispatch=335572cdde9b329310e6e7b0934c8e2587514bef,0.0,0.0,0.0,43200,0
http://174.79.235.35.bc.googleusercontent.com/Netflix1.html,0.0,0.0,0.0,43200,0
http://20dai-job.com/paypal.com.update,0.0,0.0,0.0,43200,0
http://2b3a2372-5410-4587-b9a8-eeca1c8b096c.htmlpasta.com,0.0,0.0,0.0,43200,0
http://32.19.192.35.bc.googleusercontent.com/atendimentos-prioritario.jpg/it1.php,0.0,0.0,0.0,43200,0
http://365boi-online.com/,0.0,0.0,0.0,43200,0
http://365secureserver.com/sharepoint/ss/,0.0,0.0,0.0,43200,0
http://44333gr.000webhostapp.com/,0.0,0.0,0.0,43200,0
http://453595893758394839437585894859734984935735445.000webhostapp.com/dhl/dhl/dhl/dhl.php,0.0,0.0,0.0,43200,0
